RegionID,SizeRank,RegionName,RegionType,StateName,2000-01-31,2000-02-29,2000-03-31,2000-04-30,2000-05-31,2000-06-30,2000-07-31,2000-08-31,2000-09-30,2000-10-31,2000-11-30,2000-12-31,2001-01-31,2001-02-28,2001-03-31,2001-04-30,2001-05-31,2001-06-30,2001-07-31,2001-08-31,2001-09-30,2001-10-31,2001-11-30,2001-12-31,2002-01-31,2002-02-28,2002-03-31,2002-04-30,2002-05-31,2002-06-30,2002-07-31,2002-08-31,2002-09-30,2002-10-31,2002-11-30,2002-12-31,2003-01-31,2003-02-28,2003-03-31,2003-04-30,2003-05-31,2003-06-30,2003-07-31,2003-08-31,2003-09-30,2003-10-31,2003-11-30,2003-12-31,2004-01-31,2004-02-29,2004-03-31,2004-04-30,2004-05-31,2004-06-30,2004-07-31,2004-08-31,2004-09-30,2004-10-31,2004-11-30,2004-12-31,2005-01-31,2005-02-28,2005-03-31,2005-04-30,2005-05-31,2005-06-30,2005-07-31,2005-08-31,2005-09-30,2005-10-31,2005-11-30,2005-12-31,2006-01-31,2006-02-28,2006-03-31,2006-04-30,2006-05-31,2006-06-30,2006-07-31,2006-08-31,2006-09-30,2006-10-31,2006-11-30,2006-12-31,2007-01-31,2007-02-28,2007-03-31,2007-04-30,2007-05-31,2007-06-30,2007-07-31,2007-08-31,2007-09-30,2007-10-31,2007-11-30,2007-12-31,2008-01-31,2008-02-29,2008-03-31,2008-04-30,2008-05-31,2008-06-30,2008-07-31,2008-08-31,2008-09-30,2008-10-31,2008-11-30,2008-12-31,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
9,0,California,state,,186305,186932,187777,189613,191746,194048,196479,199017,201561,203974,206350,208675,210642,212587,214777,217499,220227,222705,225024,227260,229429,231458,233364,235146,236586,238058,239781,242106,244820,247832,251317,255068,258857,262453,265977,269451,272521,275383,278415,281939,285852,289472,293294,297319,301791,306146,310343,314402,318603,323335,328733,334929,342064,350026,358166,365934,373292,380357,386570,392571,397913,403702,409787,416649,423323,429495,435401,441391,447408,453315,458106,462348,465882,469025,472018,474706,477377,479225,479911,479917,478888,477716,476467,475382,474488,473438,471936,470011,467008,463549,459123,454508,449321,443877,438406,432540,426699,419805,411570,401916,391641,381662,371556,361826,352837,345064,337528,330298,323539,318617,314540,310710,306998,303754,301348,299337,297762,296923,297750,299643,301566,302369,303395,304674,306081,306017,304888,302960,300992,298881,297012,295680,294643,293649,292186,290628,288288,286404,284764,282974,280839,278558,277433,276699,276320,275771,275153,274731,274923,276010,277585,280077,283442,287735,292437,297442,302182,306377,309981,314223,320017,327029,334053,340772,347356,353859,359313,363707,366887,369516,371907,374823,377935,380497,382182,383660,386098,389192,392659,395861,398707,401112,403081,404987,407142,409350,411090,412256,413254,414483,415510,416446,419547,424763,430689,435167,438137,440761,441721,441419,439969,439639,440685,443211,447990,454279,461108,466686,470775,474280,475986,477461,479014,482390,486135,490535,495505,500985,505981,510091,513850,516911,519695,522682,526052,529637,532171,533657,533194,531601,529796,528760,528140,527758,528160,529840,532409,535437,538734,542151,544942,547186,549348,551345,551597,550402,550248,553461,560593,569752,580417,591054,599888,607446,614292,623255,633988,645512,655927,663133,668019,672381,678133,685223,695111,707800,723101,737015,747503,753079,753384,748787,741434,734815,729614,725155,718218,711086,705840,705262,708206,713360,720308,728170,735683,741792,746163,748947,749474,749323,750793,754625,759079,761532,763513,765269,767548,769127,770887,772668,772831,771452,768027,764738,760853,757097,754250,752321,751900,752647,754304
54,1,Texas,state,,112312,112373,112403,112550,112645,112752,112822,113029,113301,113593,113929,114302,114525,114492,114269,114138,114182,114315,114471,114612,114759,114914,115027,115118,115149,115235,115452,115832,116280,116781,117291,117830,118305,118713,119060,119356,119582,119732,119901,120099,120325,120551,120775,121035,121271,121511,121684,121831,122198,123025,124334,125632,126706,127394,128038,128624,129285,129900,130451,130932,131444,131875,132259,132598,132966,133368,133725,134058,134392,134662,134978,135236,135447,135660,135919,136334,136902,137531,138159,138717,139310,140042,140744,141440,141807,141952,141934,142154,142556,143079,143545,144041,144530,144980,145355,145701,145561,145157,144562,144249,144025,143825,143659,143305,142793,142184,141587,141034,140532,140268,140160,140143,140143,140118,140129,140012,139857,139652,139695,139821,139882,139869,139894,140070,140274,140320,140071,139591,139022,138450,137856,137340,136892,136420,135957,135508,135153,134791,134590,134472,134430,134316,134104,133857,133744,133899,134177,134456,134768,135207,135705,136077,136395,136713,137079,137447,137961,138614,139387,140121,140960,141960,142920,143850,144576,145405,146163,147014,148014,149142,150280,151269,152271,153289,154448,155490,156408,157060,157883,158846,160051,161300,162521,163664,164757,165846,166978,168160,169364,170578,171646,172755,173942,175180,176093,176962,177800,178800,179633,180443,181369,182390,183539,184643,185730,186700,187734,188879,189910,190839,191558,192321,193095,194018,195035,196164,197284,198302,199495,200612,201776,202660,203671,204580,205477,206161,206937,207800,208655,209408,210060,210610,211105,211584,212093,212704,213370,214263,215320,216470,217639,218769,219871,220666,220950,221120,221783,223226,225403,227860,230662,233377,236227,239263,242700,246515,250880,255551,259836,263102,265490,267967,271174,274860,279710,285134,291268,297219,302688,307463,310365,311277,310605,309644,308631,307329,305611,303978,302887,302511,302836,303680,304439,305029,305067,304833,304336,303723,303521,303785,304667,305532,305867,305633,305067,304647,304386,304125,303753,303479,303302,303128,302406,301355,300113,298936,297887,297063,296556,296191,296039
14,2,Florida,state,,107384,107617,107899,108472,109090,109721,110354,111000,111669,112351,113061,113793,114462,115127,115822,116643,117542,118481,119490,120559,121668,122780,123846,124892,125837,126710,127564,128525,129579,130681,131803,133003,134189,135374,136500,137720,138922,140157,141424,142836,144327,145806,147271,148769,150323,151898,153444,154922,156339,157743,159280,161034,163087,165415,168002,170851,173744,176523,179129,181785,184513,187429,190699,194553,198854,203516,208491,213633,218672,223314,227605,231626,235343,238791,242375,246364,250191,253394,255592,257035,257640,257612,257226,256454,255477,254421,253208,251806,249982,247701,244954,241918,238809,235630,232306,228935,225272,221657,217796,214037,209998,206070,202054,197878,193632,189337,185114,181076,177279,173904,170732,167573,164517,161610,159123,156832,154734,152959,151775,150876,150184,149581,149170,148811,148346,147645,146674,145460,144136,142751,141348,140011,138674,137407,136113,134861,133611,132481,131439,130619,130003,129650,129470,129387,129416,129538,129732,130095,130564,131200,131838,132405,133009,133757,134817,136229,137844,139492,141175,142908,144862,146778,148617,150374,152081,153883,155475,157099,158645,160311,161874,163265,164637,165775,166946,167943,168980,169850,170936,172225,173632,174865,175954,177048,178287,179557,181005,182538,184206,185948,187628,189189,190627,191990,193243,194570,195883,197287,198520,199797,201231,202827,204288,205499,206561,207748,209135,210609,211899,213230,214495,215922,217305,218788,220314,221911,223332,224580,225836,227080,228370,229457,230866,232242,233640,234790,236012,237332,238523,239592,240315,240836,241117,241523,242049,242766,243478,244422,245713,247305,249233,251050,252646,253616,253884,254018,254592,256172,258707,261707,265229,268730,272353,275963,279820,284109,289300,295655,302163,307952,312643,317262,322429,328014,335026,343181,352807,362929,372630,381253,387104,390066,390444,389960,389252,388404,387052,385908,385443,385889,386946,388626,390335,392028,393205,394272,395208,396043,396751,397481,398348,399031,399156,398367,397307,396287,395428,394475,393269,392170,391221,390138,388436,386266,383797,381198,378430,375955,374184,373038,372356
43,3,New York,state,,152078,152619,153141,154262,155422,156676,157804,158791,159668,160608,161760,163024,164237,165246,166156,167107,168156,169315,170531,171808,173056,174370,175746,177207,178649,179959,181069,182164,183331,184686,186141,187766,189441,191110,192732,194412,196053,197649,199353,201031,202749,204452,206239,208268,210465,212725,214702,216475,218201,219836,221207,222570,224173,226152,228377,230666,233075,235443,237843,240136,242322,244452,246412,248480,250676,252945,255333,257830,260451,263118,265529,267931,270031,271952,273538,274916,276217,277561,278819,279944,280671,281206,281514,281843,282117,282340,282636,282757,282989,283024,283081,283159,283165,283371,283578,283690,283759,283621,283462,283102,282499,281676,280586,279407,278089,276505,274771,273108,271570,270246,269073,268074,267156,266158,265125,264009,263069,262342,261877,261566,261338,261320,261398,261792,262214,262777,263138,263051,262505,261520,260488,259443,258706,258140,257792,257324,256823,256075,255344,254630,253978,253329,252623,252025,251500,251291,251481,251878,252373,252736,253073,253085,253112,252950,252934,252909,253314,253987,254780,255529,256378,257556,258730,259785,260547,261356,262027,262480,262869,263402,264381,265520,266875,267810,268579,269036,269649,270125,270779,271337,271754,272001,272251,272705,273520,274413,275525,276859,278624,280532,282091,283355,284249,284947,285264,285829,286696,288040,289145,289936,290545,291392,292702,294510,296168,297917,299462,301543,303219,304691,305777,307120,308485,310189,311572,313115,314510,315626,317081,318707,321074,323210,325621,327973,330385,331983,333120,333787,334872,336399,338055,339449,340244,341216,342206,343391,344039,344769,346228,348083,350370,352113,353718,355051,356211,356838,357015,357422,359474,362838,367283,372186,376827,381670,386196,390401,394604,398541,402019,404140,405188,406703,408980,411671,414841,418685,423814,429063,433853,438437,441528,442454,440886,439058,437502,435920,434264,432888,432982,434473,436915,439784,442826,445918,448542,450402,451956,453657,455460,457686,460681,464343,467708,470414,472944,476040,478901,481319,483150,484904,486032,487210,488113,489479,490735,492306,494215,495875,497690,499669,502060
47,4,Pennsylvania,state,,98625,98836,99034,99438,99853,100279,100732,101164,101605,102027,102494,102976,103452,103887,104324,104794,105243,105701,106193,106735,107284,107788,108300,108785,109267,109744,110242,110789,111388,112047,112784,113616,114480,115326,116054,116747,117410,118077,118715,119389,120214,121211,122306,123362,124398,125377,126265,127055,127756,128564,129375,130277,131338,132590,134061,135497,136932,138181,139445,140680,141952,142984,143972,145046,146340,147837,149439,151117,152694,154132,155452,156690,157789,158747,159646,160598,161663,162829,163908,164781,165390,165864,166243,166563,166886,167272,167757,168205,168635,168963,169316,169569,169697,169780,169887,169971,169927,169897,169830,169783,169578,169250,168667,167909,167108,166414,165759,165054,164335,163863,163630,163489,163244,162909,162542,162111,161703,161425,161368,161456,161705,162053,162536,163006,163314,163368,163119,162646,161942,161110,160196,159332,158582,157974,157511,157015,156442,155711,154981,154374,153939,153582,153225,152877,152574,152508,152830,153305,153760,153943,154019,153895,153773,153593,153461,153374,153368,153389,153622,154058,154703,155247,155407,155463,155393,155610,155767,155979,156119,156217,156315,156560,157007,157480,157972,158214,158236,157905,157698,157679,157759,157811,158002,158423,159016,159546,160177,160901,161611,162146,162417,162777,163266,163768,163809,163802,164000,164505,164899,165296,165795,166431,167013,167669,168244,168753,169142,169595,170070,170568,171090,171663,172303,173081,174004,174930,175758,176480,177480,178430,179185,179558,179947,180395,180823,181071,181351,181727,182397,183403,184462,185318,185880,186493,187184,187910,188569,189399,190455,191601,192733,193918,195191,196586,197432,197782,198087,199106,201273,203995,207252,210319,213142,215897,218766,221707,224662,227759,230006,230879,230122,229518,229626,230595,232944,236389,240700,244607,247625,249982,250888,250677,249710,249409,249609,249819,249636,249242,249398,250220,251764,253595,255377,257084,258416,259317,259859,260303,260814,261650,262982,264662,266159,267049,267389,267640,268030,268777,269669,270864,271936,272852,273320,273717,274108,274483,275251,275968,276765,277085,277535
21,5,Illinois,state,,126729,126831,127050,127567,128179,128868,129615,130678,131929,133372,134473,135347,135975,136604,137285,137980,138807,139678,140576,141676,142938,144391,145499,146319,146885,147547,148351,149102,149898,150684,151628,152830,154159,155591,156584,157443,158124,158975,159786,160686,161526,162352,163135,164246,165610,167122,168274,169169,169982,170870,171785,172805,173947,175266,176539,177945,179311,180792,182062,183302,184345,185490,186643,187910,189203,190507,191757,193135,194715,196435,197805,198972,199993,201110,202253,203277,204314,205065,205636,206063,206406,206678,206920,207247,207751,208257,208661,208849,208869,208748,208474,208124,207569,206951,206308,205544,204711,203071,202303,200869,200365,198706,197628,195610,193894,191564,189382,186820,184057,181855,179709,178351,176743,175459,174199,173058,171500,169983,168500,167743,167003,166660,165852,165945,165618,165922,164736,163689,162033,160690,158856,157064,155451,154185,153267,152176,151345,150288,149641,148738,147866,146412,145223,143758,142796,141866,141335,140882,140565,140587,140829,140959,141015,140837,140526,140213,140245,140769,141553,142631,143555,144688,145612,146828,147934,149346,150567,151720,152559,153467,154256,155063,155895,156785,157770,158584,159179,159536,159873,160238,160468,160488,160722,161116,161864,162478,163135,163721,164402,165349,166250,167125,167966,168872,169498,170074,170637,171327,171639,171840,172011,172542,173209,174152,175113,176165,177289,178180,178832,179029,179178,179370,179981,180822,181865,182906,184015,184980,186129,186987,187653,187611,187667,187597,187741,187718,187874,188259,189069,190256,191373,192212,192587,192779,192675,192572,192309,192380,192705,193406,194393,195543,196668,197479,197584,197282,197000,197496,199073,201207,203731,206095,208437,210993,213600,216056,218265,220566,222525,223667,223818,223977,224671,226087,228573,232013,236150,240018,242620,244387,244749,244274,242986,242124,241641,241379,240861,240636,241031,242384,244251,246389,248387,250353,251856,253065,253921,254559,255026,256064,257948,260379,262153,263271,263912,264724,265498,266366,267299,268425,269562,270664,271367,271811,272067,272432,273233,274227,275513,276817,278351
44,6,Ohio,state,,104177,104240,104337,104621,105054,105591,106122,106638,107145,107635,108113,108568,108991,109327,109640,109949,110285,110615,110984,111393,111810,112210,112572,112900,113176,113404,113622,113843,114105,114397,114739,115096,115455,115815,116188,116558,116897,117207,117488,117780,118092,118465,118894,119396,119909,120409,120828,121200,121514,121834,122159,122478,122814,123164,123557,123926,124282,124619,124960,125281,125623,125985,126356,126706,127007,127309,127592,127900,128196,128496,128793,129062,129282,129458,129619,129789,129963,130119,130259,130349,130380,130360,130280,130146,130002,129910,129783,129641,129475,129324,129123,128885,128701,128487,128136,127693,127218,126759,126385,126060,125798,125499,125208,124860,124446,123905,123361,122715,121969,121153,120414,119894,119527,119204,118819,118402,118017,117740,117465,117231,117007,116954,116929,116970,116968,116913,116664,116292,115799,115245,114594,113885,113219,112599,112109,111603,111106,110622,110277,110020,109751,109429,109088,108786,108433,108206,108206,108405,108665,108822,108972,108962,109021,109078,109179,109241,109367,109577,109983,110554,111297,111959,112479,112952,113336,113711,113788,113863,113832,113941,114085,114478,115163,115898,116563,116954,117154,117061,117025,117160,117499,117864,118288,118822,119496,120146,120820,121530,122198,122822,123199,123672,124309,125107,125600,125907,126105,126496,126748,127021,127352,127881,128454,129065,129649,130176,130704,131287,131879,132476,133092,133745,134332,134953,135677,136430,137068,137609,138433,139339,140302,140948,141661,142341,143127,143743,144470,145203,146070,147054,148048,148807,149281,149736,150247,150724,151125,151672,152484,153376,154373,155385,156482,157477,158114,158559,159204,160534,162648,165240,168093,170770,173117,175325,177598,180043,182610,185249,187106,187738,187293,187023,187401,188241,190283,193260,196880,200255,203004,205531,206944,207438,207045,206769,206685,206576,205940,205573,205837,207172,209088,211236,213188,214739,215895,216708,217335,217768,218184,218972,220534,222538,224348,225571,226384,226965,227370,227853,228485,229704,231020,232239,232743,232912,233059,233329,234061,234746,235595,236196,236963
16,7,Georgia,state,,125588,125873,126202,126895,127659,128469,129287,130152,131036,131955,132865,133829,134764,135569,136256,136890,137590,138289,138986,139694,140399,141097,141729,142318,142819,143302,143741,144210,144687,145177,145639,146084,146539,147017,147452,147819,148131,148417,148728,149041,149351,149644,149939,150301,150691,151085,151434,151795,152107,152420,152724,153133,153586,154043,154483,154988,155539,156129,156647,157101,157450,157775,158110,158580,159163,159829,160453,161058,161663,162267,162855,163408,163947,164490,165007,165532,166032,166575,167148,167739,168268,168735,169081,169460,169808,170189,170555,170941,171270,171493,171598,171637,171524,171302,170893,170470,169835,169121,168254,167509,166795,166045,165149,164114,163011,161784,160255,158410,156533,154850,153336,151728,150049,148442,147083,145924,144834,143753,142793,142028,141316,140702,140210,139988,139803,139501,138766,137710,136302,134949,133559,132284,131018,129959,128889,127667,126173,124703,123465,122593,122012,121568,121194,120580,120058,119658,119778,120108,120598,121199,121850,122256,122631,122909,123364,123805,124351,125063,126143,127499,129187,130908,132582,134150,135496,136875,137976,139181,140273,141495,142628,143790,144980,145977,146839,147519,148133,148600,149153,149746,150335,150909,151554,152360,153251,154144,155127,156148,157228,158264,159188,160119,161149,162161,162879,163618,164336,165113,165542,165903,166419,167200,168151,169166,170134,171149,172183,173267,174197,175060,175991,176993,178078,179235,180604,182176,183735,185210,186679,187976,189216,190160,191383,192633,194120,195367,196716,198104,199581,200931,202129,203115,203924,204621,205328,206146,206903,207872,209064,210532,212124,213710,215213,216404,216987,217363,218107,219816,222548,225914,229687,233440,237200,241115,245219,249508,254136,259152,263705,267300,270113,273402,277581,282367,288501,295316,302437,308853,314313,319076,321929,323022,322567,321812,320883,319747,318408,317532,317642,318583,320118,321841,323570,325285,326782,328008,328912,329505,329948,330627,331955,333610,334963,335573,335800,335990,336050,335840,335246,334807,334440,334030,333008,331857,330708,329768,328990,328462,328333,328285,328216
36,8,North Carolina,state,,128420,128615,128817,129253,129739,130257,130762,131238,131703,132195,132748,133336,133942,134395,134760,135031,135346,135662,135964,136308,136659,137046,137348,137613,137835,138023,138201,138319,138501,138693,138954,139213,139474,139733,139969,140212,140448,140664,140865,141034,141232,141432,141676,141977,142302,142627,142917,143235,143559,143883,144174,144474,144775,145142,145531,145954,146408,146901,147407,147908,148296,148712,149102,149620,150172,150850,151599,152418,153219,154058,154852,155625,156341,157048,157808,158619,159500,160379,161275,162196,163085,163902,164584,165197,165817,166407,167067,167749,168485,169198,169812,170366,170802,171144,171398,171562,171671,171737,171817,171860,171812,171580,171191,170735,170251,169758,169138,168396,167580,166966,166481,165983,165329,164589,163856,163027,162271,161640,161215,160812,160440,160036,159713,159564,159512,159376,158961,158368,157688,157015,156326,155659,154967,154315,153646,152925,152221,151578,151013,150441,149935,149361,148790,148240,147814,147631,147711,148021,148385,148672,148921,148954,149001,148988,148989,148926,148872,148983,149221,149579,150105,150760,151430,152069,152583,153106,153370,153605,153844,154336,154864,155416,155995,156485,156896,157112,157275,157272,157415,157707,158208,158765,159307,159881,160514,161150,161823,162523,163281,164099,164809,165619,166541,167477,168049,168515,168934,169561,170077,170763,171611,172677,173723,174713,175582,176353,177088,177992,178875,179791,180652,181593,182532,183533,184683,185899,187070,188132,189293,190317,191276,192038,192991,193975,195033,195915,196912,197966,199127,200214,201333,202346,203226,203959,204692,205502,206278,207312,208621,210063,211408,212723,214191,215604,216539,217226,218256,220219,223175,226674,230434,234160,237699,241346,245073,249120,253672,258804,263573,267093,269403,271592,274428,277611,282194,287784,294515,301364,307745,313422,316988,318440,318090,317485,316779,315868,314468,313457,313421,314462,316089,318018,319830,321611,323073,324217,325196,325694,325981,326395,327747,329535,331198,331876,332024,331822,331708,331725,331699,332124,332565,332872,332404,331592,330808,330027,329488,329098,329251,329520,329817
30,9,Michigan,state,,114745,114808,115040,115500,116180,116927,117798,118677,119517,120302,121113,121958,122755,123372,123875,124316,124852,125398,125965,126565,127218,127879,128479,129034,129607,130099,130531,130848,131171,131529,131876,132268,132641,133079,133499,133924,134323,134671,134882,135078,135418,135897,136407,136917,137463,138087,138651,139182,139682,140077,140457,140731,141083,141458,141900,142358,142807,143289,143731,144156,144586,144935,145257,145519,145836,146087,146268,146466,146709,146976,147197,147412,147635,147842,147958,147942,147809,147588,147334,147033,146700,146322,145888,145361,144753,144142,143496,142855,142089,141372,140510,139756,138808,137855,136791,135848,134885,133774,132430,130865,129337,127846,126341,124560,122824,121323,119966,118366,116379,114321,112327,110614,109110,107733,106577,105467,104488,103398,102440,101579,101025,100497,100163,100018,100140,100340,100270,99960,99354,98651,97811,97009,96182,95486,94869,94296,93780,93274,92913,92741,92693,92642,92489,92297,92149,92230,92498,93029,93735,94543,95343,95932,96624,97349,98051,98678,99302,100026,100974,102106,103467,104926,106333,107895,109277,110599,111417,112116,112818,113760,114615,115584,116544,117637,118664,119475,120042,120197,120401,120687,121197,121757,122530,123474,124551,125508,126316,127065,127810,128579,129215,129900,130778,131706,132350,133008,133719,134635,135162,135634,136117,136817,137628,138556,139565,140562,141603,142606,143599,144551,145535,146375,147124,147831,148736,149705,150781,151793,153112,154314,155514,156305,157268,157943,158578,158681,159032,159612,160721,162091,163573,164883,165896,166639,167008,167155,167184,167656,168466,169297,170209,171372,172787,174119,174766,174988,175234,176195,178246,180762,183626,186237,188922,191859,194980,198186,201471,204873,207432,208541,208350,208086,208421,209262,211384,214659,218790,222790,225825,228133,228701,228044,226522,225496,224741,224202,223800,223806,224402,225542,227197,228884,230196,231379,232298,233030,233466,233725,234060,234977,236816,239075,240696,241647,241946,242238,242487,243078,243713,244648,245656,246656,247115,247279,247423,247708,248319,248939,249724,250631,251876
