RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,date,zori,geoid
66,146,Ada County,county,ID,ID,"${str}",2026-01-31,1806.956143,
351,1630,Adair County,county,MO,MO,"${str}",2026-01-31,907.4444444,
353,139,Adams County,county,CO,CO,"${str}",2026-01-31,1827.215394,
356,824,Adams County,county,IL,IL,"${str}",2026-01-31,1036.805556,
362,591,Adams County,county,PA,PA,"${str}",2026-01-31,1251.458333,
365,397,Aiken County,county,SC,SC,"${str}",2026-01-31,1463.04092,
1509,251,Alachua County,county,FL,FL,"${str}",2026-01-31,1656.900348,
2117,390,Alamance County,county,NC,NC,"${str}",2026-01-31,1414.218084,
1510,19,Alameda County,county,CA,CA,"${str}",2026-01-31,2724.441151,
1511,2076,Alamosa County,county,CO,CO,,2026-01-31,1187.5,
823,225,Albany County,county,NY,NY,"${str}",2026-01-31,1619.12517,
824,1270,Albany County,county,WY,WY,"${str}",2026-01-31,1162.324786,
2608,552,Albemarle County,county,VA,VA,"${str}",2026-01-31,1978.46767,
3253,422,Alexandria City,county,VA,VA,"${str}",2026-01-31,2280.474,
1513,528,Allegan County,county,MI,MI,"${str}",2026-01-31,1526.25,
2118,786,Allegany County,county,MD,MD,"${str}",2026-01-31,1016.071429,
2614,35,Allegheny County,county,PA,PA,"${str}",2026-01-31,1488.549001,
367,185,Allen County,county,IN,IN,"${str}",2026-01-31,1148.500522,
371,598,Allen County,county,OH,OH,"${str}",2026-01-31,1124.305556,
829,1200,Amador County,county,CA,CA,,2026-01-31,1908.333333,
1514,1425,Amherst County,county,VA,VA,"${str}",2026-01-31,1059.444444,
2616,239,Anchorage Borough,county,AK,AK,"${str}",2026-01-31,1691.392799,
2121,1715,Anderson County,county,KY,KY,"${str}",2026-01-31,1237.5,
2122,335,Anderson County,county,SC,SC,"${str}",2026-01-31,1423.771696,
2123,737,Anderson County,county,TN,TN,"${str}",2026-01-31,1594.517172,
2124,907,Anderson County,county,TX,TX,"${str}",2026-01-31,1377.25,
3151,556,Androscoggin County,county,ME,ME,"${str}",2026-01-31,1506.388889,
2125,675,Angelina County,county,TX,TX,"${str}",2026-01-31,1363.888889,
3152,115,Anne Arundel County,county,MD,MD,"${str}",2026-01-31,2209.979453,
373,198,Anoka County,county,MN,MN,"${str}",2026-01-31,1642.046185,
1517,1687,Aransas County,county,TX,TX,"${str}",2026-01-31,1609.111111,
2127,104,Arapahoe County,county,CO,CO,"${str}",2026-01-31,1737.600406,
2619,287,Arlington County,county,VA,VA,"${str}",2026-01-31,2572.364982,
2622,806,Aroostook County,county,ME,ME,,2026-01-31,1008.333333,
2623,512,Ascension Parish,county,LA,LA,"${str}",2026-01-31,1872.090428,
1519,963,Ashland County,county,OH,OH,"${str}",2026-01-31,909.6944444,
840,1761,Asotin County,county,WA,WA,"${str}",2026-01-31,1200.0,
2129,1025,Atascosa County,county,TX,TX,"${str}",2026-01-31,1335.0,
841,856,Athens County,county,OH,OH,"${str}",2026-01-31,1130.972222,
2133,252,Atlantic County,county,NJ,NJ,"${str}",2026-01-31,2214.889828,
1523,734,Augusta County,county,VA,VA,"${str}",2026-01-31,1394.603175,
844,1466,Austin County,county,TX,TX,"${str}",2026-01-31,1700.0,
1524,904,Autauga County,county,AL,AL,"${str}",2026-01-31,1870.383333,
376,1998,Avery County,county,NC,NC,,2026-01-31,2200.0,
1525,302,Baldwin County,county,AL,AL,"${str}",2026-01-31,1707.76779,
1526,1114,Baldwin County,county,GA,GA,"${str}",2026-01-31,1074.583333,
3236,113,Baltimore City,county,MD,MD,"${str}",2026-01-31,1713.807668,
2626,73,Baltimore County,county,MD,MD,"${str}",2026-01-31,1701.352085,
1529,1825,Bandera County,county,TX,TX,"${str}",2026-01-31,1405.555556,
381,1974,Banks County,county,GA,GA,,2026-01-31,1465.75,
